Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Android Mob UI Automation,,,,2023-06-12 18:13:35,2023-06-12 18:14:26,50.850s,PASSED
,,,,,,,
Test Cases/Ui Testing/UI Testing Mobile Android,,OneCS Android App UI Validation,,2023-06-12 18:13:35,2023-06-12 18:14:26,50.561s,PASSED
"startApplication(bsApp, true)",,,,2023-06-12 18:13:35,2023-06-12 18:14:09,33.915s,PASSED
"takeScreenshotAsCheckpoint(""logoScreen"")",,,,2023-06-12 18:14:09,2023-06-12 18:14:12,2.709s,PASSED
"tap(findTestObject(""Object Repository/Ui Testing/android.widget.TextView - Sign in""), 0)",,,,2023-06-12 18:14:12,2023-06-12 18:14:14,1.894s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Ui Testing/android.widget.EditText""), 0)",,,,2023-06-12 18:14:14,2023-06-12 18:14:14,0.454s,PASSED
"takeScreenshotAsCheckpoint(""SignIn"")",,,,2023-06-12 18:14:14,2023-06-12 18:14:16,1.507s,PASSED
"setText(findTestObject(""Object Repository/Ui Testing/android.widget.EditText""), ""bob"", 0)",,,,2023-06-12 18:14:16,2023-06-12 18:14:16,0.548s,PASSED
"setText(findTestObject(""Object Repository/Ui Testing/android.widget.EditText (1)""), ""Pass123$"", 0)",,,,2023-06-12 18:14:16,2023-06-12 18:14:17,1.010s,PASSED
"takeScreenshotAsCheckpoint(""UsernmaePassword"")",,,,2023-06-12 18:14:17,2023-06-12 18:14:18,1.317s,PASSED
"tap(findTestObject(""Object Repository/Ui Testing/android.widget.TextView - Continue""), 0)",,,,2023-06-12 18:14:18,2023-06-12 18:14:20,1.569s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Ui Testing/android.widget.TextView - Verify your account""), 0)",,,,2023-06-12 18:14:20,2023-06-12 18:14:22,1.877s,PASSED
"takeScreenshotAsCheckpoint(""2FA"")",,,,2023-06-12 18:14:22,2023-06-12 18:14:24,2.225s,PASSED
getDriver().closeApp(),,,,2023-06-12 18:14:24,2023-06-12 18:14:24,0.148s,PASSED
getDriver().quit(),,,,2023-06-12 18:14:24,2023-06-12 18:14:25,1.196s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-06-12 18:14:25,2023-06-12 18:14:26,0.016s,PASSED
