Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Android Mob UI Automation,,,,2023-06-08 10:23:47,2023-06-08 10:24:39,52.952s,PASSED
,,,,,,,
Test Cases/Ui Testing/UI Testing Mobile Android,,OneCS Android App UI Validation,,2023-06-08 10:23:47,2023-06-08 10:24:39,52.726s,PASSED
"startApplication(bsApp, true)",,,,2023-06-08 10:23:47,2023-06-08 10:24:12,24.847s,PASSED
"takeScreenshotAsCheckpoint(""logoScreen"")",,,,2023-06-08 10:24:12,2023-06-08 10:24:16,4.350s,PASSED
"tap(findTestObject(""Object Repository/Ui Testing/android.widget.TextView - Sign in""), 0)",,,,2023-06-08 10:24:16,2023-06-08 10:24:19,3.084s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Ui Testing/android.widget.EditText""), 0)",,,,2023-06-08 10:24:19,2023-06-08 10:24:21,1.313s,PASSED
"takeScreenshotAsCheckpoint(""SignIn"")",,,,2023-06-08 10:24:21,2023-06-08 10:24:24,2.937s,PASSED
"setText(findTestObject(""Object Repository/Ui Testing/android.widget.EditText""), ""bob"", 0)",,,,2023-06-08 10:24:24,2023-06-08 10:24:26,2.399s,PASSED
"setText(findTestObject(""Object Repository/Ui Testing/android.widget.EditText (1)""), ""Pass123$"", 0)",,,,2023-06-08 10:24:26,2023-06-08 10:24:28,1.735s,PASSED
"takeScreenshotAsCheckpoint(""UsernmaePassword"")",,,,2023-06-08 10:24:28,2023-06-08 10:24:31,2.836s,PASSED
"tap(findTestObject(""Object Repository/Ui Testing/android.widget.TextView - Continue""), 0)",,,,2023-06-08 10:24:31,2023-06-08 10:24:32,1.581s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Ui Testing/android.widget.TextView - Verify your account""), 0)",,,,2023-06-08 10:24:32,2023-06-08 10:24:36,3.545s,PASSED
"takeScreenshotAsCheckpoint(""2FA"")",,,,2023-06-08 10:24:36,2023-06-08 10:24:39,2.831s,PASSED
closeApplication(),,,,2023-06-08 10:24:39,2023-06-08 10:24:39,0.943s,PASSED
